INFO 2025-06-03 10:31:03,327 middleware 12760 10952 API: GET /api/language-selector-config/
INFO 2025-06-03 10:31:03,330 basehttp 12760 10952 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:31:33,330 basehttp 12760 14828 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:31:33,339 middleware 12760 13624 API: GET /api/language-selector-config/
INFO 2025-06-03 10:31:33,350 basehttp 12760 13624 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:32:03,575 basehttp 12760 2580 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:32:03,577 middleware 12760 4120 API: GET /api/language-selector-config/
INFO 2025-06-03 10:32:03,658 basehttp 12760 4120 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:32:33,547 basehttp 12760 2924 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:32:33,552 middleware 12760 15320 API: GET /api/language-selector-config/
INFO 2025-06-03 10:32:33,557 basehttp 12760 15320 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:33:03,549 basehttp 12760 9144 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:33:03,552 middleware 12760 6796 API: GET /api/language-selector-config/
INFO 2025-06-03 10:33:03,556 basehttp 12760 6796 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:33:54,559 basehttp 12760 9144 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:33:54,563 middleware 12760 6796 API: GET /api/language-selector-config/
INFO 2025-06-03 10:33:54,571 basehttp 12760 6796 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:34:03,319 basehttp 12760 9144 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:34:03,324 middleware 12760 6796 API: GET /api/language-selector-config/
INFO 2025-06-03 10:34:03,337 basehttp 12760 6796 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:34:33,554 basehttp 12760 9144 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:34:33,558 middleware 12760 6796 API: GET /api/language-selector-config/
INFO 2025-06-03 10:34:33,566 basehttp 12760 6796 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:34:58,353 basehttp 12760 10984 "OPTIONS /api/evaluaciones/160/ HTTP/1.1" 200 0
INFO 2025-06-03 10:34:58,361 middleware 12760 13872 API: DELETE /api/evaluaciones/160/
INFO 2025-06-03 10:34:59,185 basehttp 12760 13872 "DELETE /api/evaluaciones/160/ HTTP/1.1" 204 0
INFO 2025-06-03 10:35:03,577 basehttp 12760 7012 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:35:03,582 middleware 12760 6452 API: GET /api/language-selector-config/
INFO 2025-06-03 10:35:04,290 basehttp 12760 6452 "GET /api/language-selector-config/ HTTP/1.1" 200 74
